num_item_id;aoa;item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category
333;19;item_333;all gone;word;descriptive_words;predicates;adjectives;all gone;NA
334;24;item_334;asleep;word;descriptive_words;predicates;adjectives;asleep;NA
335;27;item_335;bad;word;descriptive_words;predicates;adjectives;bad;NA
336;25;item_336;big;word;descriptive_words;predicates;adjectives;big;NA
337;24;item_337;blue;word;descriptive_words;predicates;adjectives;blue;NA
338;24;item_338;broken;word;descriptive_words;predicates;adjectives;broken;NA
339;25;item_339;careful;word;descriptive_words;predicates;adjectives;careful;NA
340;24;item_340;clean;word;descriptive_words;predicates;adjectives;clean (description);NA
341;23;item_341;cold;word;descriptive_words;predicates;adjectives;cold;NA
342;24;item_342;dark;word;descriptive_words;predicates;adjectives;dark;NA
343;22;item_343;dirty;word;descriptive_words;predicates;adjectives;dirty;NA
344;26;item_344;dry;word;descriptive_words;predicates;adjectives;dry (description);NA
345;26;item_345;empty;word;descriptive_words;predicates;adjectives;empty;NA
346;25;item_346;fast;word;descriptive_words;predicates;adjectives;fast;NA
347;27;item_347;fine;word;descriptive_words;predicates;adjectives;fine;NA
348;26;item_348;gentle;word;descriptive_words;predicates;adjectives;gentle;NA
349;26;item_349;good;word;descriptive_words;predicates;adjectives;good;NA
350;24;item_350;green;word;descriptive_words;predicates;adjectives;green;NA
351;25;item_351;happy;word;descriptive_words;predicates;adjectives;happy;NA
352;26;item_352;hard;word;descriptive_words;predicates;adjectives;hard;NA
353;21;item_353;hot;word;descriptive_words;predicates;adjectives;hot;NA
354;25;item_354;hungry;word;descriptive_words;predicates;adjectives;hungry;NA
355;25;item_355;hurt;word;descriptive_words;predicates;adjectives;hurt (description);NA
356;25;item_356;little;word;descriptive_words;predicates;adjectives;little (description);NA
358;25;item_358;naughty;word;descriptive_words;predicates;adjectives;naughty;NA
359;25;item_359;nice;word;descriptive_words;predicates;adjectives;nice;NA
360;29;item_360;old;word;descriptive_words;predicates;adjectives;old;NA
361;25;item_361;pretty;word;descriptive_words;predicates;adjectives;pretty;NA
362;23;item_362;red;word;descriptive_words;predicates;adjectives;red;NA
363;25;item_363;sad;word;descriptive_words;predicates;adjectives;sad;NA
364;26;item_364;scared;word;descriptive_words;predicates;adjectives;scared;NA
