num_item_id;aoa;item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category
13;25;item_13;alligator;word;animals;nouns;nouns;alligator;
13;25;item_13;animal;word;animals;nouns;nouns;animal;NA
14;24;item_14;animal;word;animals;nouns;nouns;animal;
14;24;item_14;ant;word;animals;nouns;nouns;ant;NA
14;24;item_14;bear;word;animals;nouns;nouns;bear;NA
15;24;item_15;ant;word;animals;nouns;nouns;ant;
15;24;item_15;bear;word;animals;nouns;nouns;bear;NA
15;24;item_15;bee;word;animals;nouns;nouns;bee;NA
16;20;item_16;bear;word;animals;nouns;nouns;bear;
16;20;item_16;bee;word;animals;nouns;nouns;bee;NA
16;20;item_16;bird;word;animals;nouns;nouns;bird;NA
17;21;item_17;bee;word;animals;nouns;nouns;bee;
17;21;item_17;bird;word;animals;nouns;nouns;bird;NA
17;21;item_17;bunny / rabbit;word;animals;nouns;nouns;bunny;NA
18;20;item_18;bird;word;animals;nouns;nouns;bird;
18;20;item_18;bug;word;animals;nouns;nouns;bug;NA
18;20;item_18;butterfly;word;animals;nouns;nouns;butterfly;NA
19;21;item_19;bug;word;animals;nouns;nouns;bug;
19;21;item_19;bunny/rabbit;word;animals;nouns;nouns;bunny;NA
19;21;item_19;cat;word;animals;nouns;nouns;cat;NA
20;21;item_20;bunny;word;animals;nouns;nouns;bunny;
20;21;item_20;butterfly;word;animals;nouns;nouns;butterfly;NA
20;21;item_20;chicken;word;animals;nouns;nouns;chicken (animal);NA
21;22;item_21;butterfly;word;animals;nouns;nouns;butterfly;
21;22;item_21;(pussy)cat;word;animals;nouns;nouns;cat;NA
21;22;item_21;cow;word;animals;nouns;nouns;cow;NA
22;21;item_22;cat;word;animals;nouns;nouns;cat;
22;21;item_22;donkey;word;animals;nouns;nouns;donkey;NA
22;21;item_22;deer;word;animals;nouns;nouns;deer;NA
23;21;item_23;chicken (animal);word;animals;nouns;nouns;chicken (animal);
23;21;item_23;duck;word;animals;nouns;nouns;duck;NA
23;21;item_23;dog;word;animals;nouns;nouns;dog;NA
24;22;item_24;cow;word;animals;nouns;nouns;cow;
24;22;item_24;elephant;word;animals;nouns;nouns;elephant;NA
24;22;item_24;donkey;word;animals;nouns;nouns;donkey;NA
25;24;item_25;deer;word;animals;nouns;nouns;deer;
25;24;item_25;fish;word;animals;nouns;nouns;fish (animal);NA
25;24;item_25;duck;word;animals;nouns;nouns;duck;NA
26;19;item_26;dog;word;animals;nouns;nouns;dog;
26;19;item_26;frog;word;animals;nouns;nouns;frog;NA
26;19;item_26;elephant;word;animals;nouns;nouns;elephant;NA
27;27;item_27;donkey;word;animals;nouns;nouns;donkey;
27;27;item_27;giraffe;word;animals;nouns;nouns;giraffe;NA
27;27;item_27;fish;word;animals;nouns;nouns;fish (animal);NA
28;21;item_28;duck;word;animals;nouns;nouns;duck;
28;21;item_28;goose;word;animals;nouns;nouns;goose;NA
28;21;item_28;frog;word;animals;nouns;nouns;frog;NA
29;23;item_29;elephant;word;animals;nouns;nouns;elephant;
29;23;item_29;horse;word;animals;nouns;nouns;horse;NA
29;23;item_29;giraffe;word;animals;nouns;nouns;giraffe;NA
30;22;item_30;fish (animal);word;animals;nouns;nouns;fish (animal);
30;22;item_30;kangaroo/roo;word;animals;nouns;nouns;kangaroo;NA
30;22;item_30;goose;word;animals;nouns;nouns;goose;NA
31;23;item_31;frog;word;animals;nouns;nouns;frog;
31;23;item_31;owl;word;animals;nouns;nouns;owl;NA
31;23;item_31;horse;word;animals;nouns;nouns;horse;NA
32;25;item_32;giraffe;word;animals;nouns;nouns;giraffe;
32;25;item_32;penguin;word;animals;nouns;nouns;penguin;NA
32;25;item_32;kitten;word;animals;nouns;nouns;kitty;NA
33;26;item_33;goose;word;animals;nouns;nouns;goose;
33;26;item_33;pig;word;animals;nouns;nouns;pig;NA
33;26;item_33;lamb;word;animals;nouns;nouns;lamb;NA
34;29;item_34;hen;word;animals;nouns;nouns;hen;
34;29;item_34;pony;word;animals;nouns;nouns;pony;NA
34;29;item_34;lion;word;animals;nouns;nouns;lion;NA
35;22;item_35;horse;word;animals;nouns;nouns;horse;
35;22;item_35;monkey;word;animals;nouns;nouns;monkey;NA
36;20;item_36;kitty;word;animals;nouns;nouns;kitty;
36;20;item_36;puppy;word;animals;nouns;nouns;puppy;NA
36;20;item_36;mouse;word;animals;nouns;nouns;mouse;NA
37;26;item_37;lamb;word;animals;nouns;nouns;lamb;
37;26;item_37;sheep;word;animals;nouns;nouns;sheep;NA
37;26;item_37;owl;word;animals;nouns;nouns;owl;NA
38;23;item_38;lion;word;animals;nouns;nouns;lion;
38;23;item_38;snake;word;animals;nouns;nouns;snake;NA
38;23;item_38;penguin;word;animals;nouns;nouns;penguin;NA
39;22;item_39;monkey;word;animals;nouns;nouns;monkey;
39;22;item_39;spider;word;animals;nouns;nouns;spider;NA
39;22;item_39;pig;word;animals;nouns;nouns;pig;NA
40;29;item_40;moose;word;animals;nouns;nouns;moose;
40;29;item_40;pony;word;animals;nouns;nouns;pony;NA
41;23;item_41;mouse;word;animals;nouns;nouns;mouse;
41;23;item_41;cow;word;animals;nouns;nouns;cow;NA
41;23;item_41;puppy;word;animals;nouns;nouns;puppy;NA
42;24;item_42;owl;word;animals;nouns;nouns;owl;
42;24;item_42;crocodile;word;animals;nouns;nouns;crocodile;NA
42;24;item_42;sheep;word;animals;nouns;nouns;sheep;NA
43;27;item_43;penguin;word;animals;nouns;nouns;penguin;
43;27;item_43;deer;word;animals;nouns;nouns;deer;NA
43;27;item_43;spider;word;animals;nouns;nouns;spider;NA
44;21;item_44;pig;word;animals;nouns;nouns;pig;
44;21;item_44;dog;word;animals;nouns;nouns;dog;NA
44;21;item_44;squirrel;word;animals;nouns;nouns;squirrel;NA
45;27;item_45;pony;word;animals;nouns;nouns;pony;
45;27;item_45;tiger;word;animals;nouns;nouns;tiger;NA
46;23;item_46;puppy;word;animals;nouns;nouns;puppy;
46;23;item_46;lamb;word;animals;nouns;nouns;lamb;NA
46;23;item_46;turkey;word;animals;nouns;nouns;turkey;NA
47;26;item_47;rooster;word;animals;nouns;nouns;rooster;
47;26;item_47;lion;word;animals;nouns;nouns;lion;NA
47;26;item_47;turtle;word;animals;nouns;nouns;turtle;NA
48;23;item_48;sheep;word;animals;nouns;nouns;sheep;
48;23;item_48;monkey;word;animals;nouns;nouns;monkey;NA
48;23;item_48;aeroplane / plane;word;vehicles;nouns;nouns;airplane;NA
49;25;item_49;squirrel;word;animals;nouns;nouns;squirrel;
49;25;item_49;mouse;word;animals;nouns;nouns;mouse;NA
49;25;item_49;bicycle / bike;word;vehicles;nouns;nouns;bicycle;NA
50;23;item_50;teddybear;word;animals;nouns;nouns;teddybear;
50;23;item_50;tiger;word;animals;nouns;nouns;tiger;NA
50;23;item_50;boat;word;vehicles;nouns;nouns;boat;NA
51;25;item_51;tiger;word;animals;nouns;nouns;tiger;
51;25;item_51;turkey;word;animals;nouns;nouns;turkey;NA
51;25;item_51;lorry / truck;word;vehicles;nouns;nouns;truck;NA
52;26;item_52;turkey;word;animals;nouns;nouns;turkey;
