uni_lemma;lexical_class;aoa
airplane;nouns;22.666666666666668
alligator;nouns;25.0
animal;nouns;24.5
ankle;nouns;28.0
ant;nouns;24.0
apple;nouns;22.0
applesauce;nouns;24.0
arm;nouns;21.666666666666668
ball;nouns;19.0
balloon;nouns;19.666666666666668
banana;nouns;22.0
basket;nouns;23.5
bat;nouns;25.0
bathroom;nouns;24.333333333333332
bathtub;nouns;22.333333333333332
beach;nouns;24.0
beads;nouns;27.0
beans;nouns;22.5
bear;nouns;22.666666666666668
bed;nouns;23.666666666666668
bedroom;nouns;24.0
bee;nouns;21.666666666666668
belly button;nouns;22.666666666666668
belt;nouns;26.0
bib;nouns;26.0
bicycle;nouns;22.666666666666668
bird;nouns;20.333333333333332
biscuit;nouns;19.0
blanket;nouns;20.666666666666668
block;nouns;22.333333333333332
boat;nouns;21.666666666666668
book;nouns;21.0
boots;nouns;25.333333333333332
bottle;nouns;21.666666666666668
bowl;nouns;24.333333333333332
box;nouns;24.333333333333332
bread;nouns;19.666666666666668
breast;nouns;26.0
broom;nouns;22.333333333333332
brush;nouns;22.666666666666668
bubbles;nouns;21.0
bucket;nouns;23.666666666666668
bug;nouns;20.5
bunny;nouns;21.0
bus;nouns;21.0
butt;nouns;25.0
butter;nouns;23.333333333333332
butterfly;nouns;21.0
button;nouns;24.333333333333332
cake;nouns;23.333333333333332
camera;nouns;24.0
can;nouns;26.0
candy;nouns;22.0
cap;nouns;25.0
car;nouns;23.0
carrots;nouns;22.666666666666668
cat;nouns;21.333333333333332
cereal;nouns;21.666666666666668
chair;nouns;22.666666666666668
chalk;nouns;26.0
cheek;nouns;24.0
cheerios;nouns;25.0
cheese;nouns;20.666666666666668
chicken;nouns;22.8
chin;nouns;23.0
chips;nouns;24.0
chocolate;nouns;24.5
church;nouns;23.0
clock;nouns;25.0
closet;nouns;27.0
cloud;nouns;27.5
coat;nouns;23.666666666666668
coffee;nouns;23.0
coke;nouns;27.0
comb;nouns;23.333333333333332
computer;nouns;23.0
cookie;nouns;22.5
corn;nouns;24.0
couch;nouns;26.666666666666668
cow;nouns;22.333333333333332
cracker;nouns;21.0
crayon;nouns;22.0
crib;nouns;25.0
crocodile;nouns;24.0
cup;nouns;23.0
deer;nouns;24.0
diaper;nouns;23.333333333333332
dish;nouns;26.0
dog;nouns;20.333333333333332
doll;nouns;25.0
donkey;nouns;23.333333333333332
donut;nouns;26.0
door;nouns;22.333333333333332
drawer;nouns;27.5
dress;nouns;25.333333333333332
drink;nouns;23.666666666666668
dryer;nouns;27.0
duck;nouns;22.0
ear;nouns;21.333333333333332
egg;nouns;26.333333333333332
elephant;nouns;21.333333333333332
eye;nouns;24.333333333333332
face;nouns;25.666666666666668
finger;nouns;24.0
firetruck;nouns;22.666666666666668
fish;nouns;24.5
flag;nouns;27.0
flower;nouns;23.0
food;nouns;23.0
foot;nouns;25.333333333333332
fork;nouns;24.0
french fries;nouns;23.0
frog;nouns;21.0
game;nouns;25.0
garage;nouns;25.5
garbage;nouns;26.0
garden;nouns;24.666666666666668
giraffe;nouns;25.0
glass;nouns;23.333333333333332
glasses;nouns;21.5
gloves;nouns;26.0
glue;nouns;28.0
goose;nouns;23.0
grapes;nouns;23.5
grass;nouns;24.0
green beans;nouns;27.0
gum;nouns;25.0
hair;nouns;21.666666666666668
hamburger;nouns;25.0
hammer;nouns;24.0
hand;nouns;23.0
hat;nouns;24.333333333333332
head;nouns;22.0
helicopter;nouns;24.0
hen;nouns;29.0
high chair;nouns;26.0
horse;nouns;22.666666666666668
hose;nouns;26.0
house;nouns;25.0
ice;nouns;23.0
ice cream;nouns;23.666666666666668
jacket;nouns;25.333333333333332
jam;nouns;23.5
jar;nouns;25.5
jeans;nouns;26.0
jello;nouns;27.0
jelly;nouns;27.0
juice;nouns;22.0
kangaroo;nouns;22.0
keys;nouns;21.333333333333332
kitchen;nouns;25.0
kitty;nouns;22.5
knee;nouns;23.0
knife;nouns;24.0
ladder;nouns;28.5
lamb;nouns;25.0
lamp;nouns;24.0
lawn mower;nouns;27.0
leg;nouns;23.666666666666668
light;nouns;24.333333333333332
lion;nouns;26.0
lips;nouns;25.0
living room;nouns;24.333333333333332
lollipop;nouns;25.0
meat;nouns;25.666666666666668
medicine;nouns;25.0
melon;nouns;27.0
milk;nouns;22.0
mittens;nouns;26.0
money;nouns;23.666666666666668
monkey;nouns;22.333333333333332
moon;nouns;25.0
moose;nouns;29.0
mop;nouns;29.0
motorcycle;nouns;25.0
mouse;nouns;22.666666666666668
mouth;nouns;22.333333333333332
muffin;nouns;26.0
nail;nouns;24.666666666666668
napkin;nouns;25.0
neck;nouns;23.0
necklace;nouns;24.333333333333332
noodles;nouns;23.0
nose;nouns;21.0
nuts;nouns;28.0
orange;nouns;23.333333333333332
oven;nouns;25.5
owie;nouns;21.0
owl;nouns;24.333333333333332
pacifier;nouns;22.0
pajamas;nouns;24.333333333333332
pancake;nouns;25.0
pants;nouns;24.333333333333332
paper;nouns;23.0
park;nouns;23.0
party;nouns;20.0
pasta;nouns;24.0
peanut butter;nouns;24.0
peas;nouns;23.0
pen;nouns;26.333333333333332
pencil;nouns;25.0
